Fabricante;Modelo;Ano;Problema;Causa;Solucao;Orcamento;Categoria do Problema;Gravidade do Problema;Tempo Estimado de Reparo
Nissan;Infiniti FX35;2020;O motor est funcionando com pouca potncia.;Bobina de ignição com falha;Substituir sensor de posio do virabrequim (CKP)  Substituir/programar chave imobilizadora  Substituir correia dentada;1212;Sistema de Escape;Média;1 dia
Mercedes;X3;2016;O motor est funcionando com pouca potncia.;Falha no conversor de torque;Procedimento de reinicializao do lembrete de manuteno realizada/redefinida;1421;Freios;Crítica;1 dia
Volkswagen;Jetta;2016;Sem manivela  No inicia;Bobina de ignio com falha;Fluido de transmisso automtica substitudo/lavado;955;Motor;Média;4 horas
Infiniti;Encore;2016;Falha no sistema de airbags;Lista de componentes eltricos mestre;Unidade de estgio final de controle do soprador substituda/reparada  bateria substituda/recarregada/programada;903;Sistema de Escape;Crítica;2 dias
Subaru;C-Class;2020;Transmisso com reduo de marcha intermitente em velocidades de rodovia;Falha na operao de carga parcial da vlvula de ventilao do crter.;Substituio do compressor de ar;903;Freios;Crítica;4 horas
Acura;Santa Fe;2017;Sem aquecimento;Bateria com baixa carga;Procedimento de reinicializao do lembrete de manuteno realizada/redefinida;1421;Suspensão;Média;4 horas
Mazda;A4;2020;Bateria descarregada;Falha no sensor de airbags;Substituir sensor de posio do virabrequim (CKP)  Substituir/programar chave imobilizadora  Substituir correia dentada;1652;Suspensão;Média;1 dia
Lexus;Outback;2019;Luz de verificao do motor em marcha lenta alta;Bomba da direo hidrulica com defeito;Vlvula de ventilao do crter de operao de carga parcial substituda  Vlvula de controle de ventilao do crter reparada/substituda  Tampa da vlvula substituda/resselada  Sistema de ventilao positiva do crter (PCV) reparado/substitudo.;1488;Elétrico;Crítica;1 dia
Nissan;C-Class;2017;Transmisso com reduo de marcha intermitente em velocidades de rodovia;Roda dentada do eixo de comando de escape  Vlvula solenide de controle de temporizao da vlvula de escape  Corrente de distribuio;Sensor de relao ar/combustvel (A/F) substitudo/apertado  Sensor de oxignio aquecido (HO2S) substitudo Banco 1 Sensor 1 (B1S1)  Sensor de oxignio aquecido (HO2S) substitudo Banco 1 Sensor 2 (B1S2);787;Freios;Média;4 horas
Kia;XC60;2019;Freios falhando;Bobina de ignio com falha;Substituir sensor de posio do virabrequim (CKP)  Substituir/programar chave imobilizadora  Substituir correia dentada;863;Freios;Média;1 semana
Hyundai;Encore;2010;Bateria descarregada;Circuito do ventilador com defeito impedindo que o ventilador esfrie o motor;Compressor de ar condicionado (A/C) substitudo ou sensor de fluxo do compressor de ar condicionado (A/C) substitudo;829;Freios;Média;4 horas
Kia;Wrangler;2015;Tremores do motor;Bobina de ignição com falha;Bobina(s) de ignição substituída(s)/reparada(s)  Bobina(s) de ignição substituída(s) e vela(s) de ignição substituída(s)/reaprendida(s);2206;Sistema de Arrefecimento;Crítica;4 horas
GMC;Santa Fe;2015;Sem partida  sem fasca;Desgaste nas pastilhas de freio;Troca das pastilhas de freio;1218;Elétrico;Crítica;3 dias
Lexus;Elantra;2020;Transmisso com reduo de marcha intermitente em velocidades de rodovia;Sensores de nvel de combustvel;Turbocompressor substitudo/reparado  Clipe da alavanca de controle da vlvula de descarga substitudo/reparado/apertado;1316;Elétrico;Crítica;1 dia
Nissan;Cruze;2016; necessrio redefinir o ciclo de conduo do monitor DTC;Desgaste nas pastilhas de freio;Ncleo do aquecedor substitudo/limpo/consertado/sangrado  Procedimento de lavagem do sistema de arrefecimento;1949;Motor;Crítica;1 semana
Nissan;XC60;2016;Indicador de nvel de combustvel irregular, medidor de combustvel no funciona;Roda dentada do eixo de comando de escape  Vlvula solenide de controle de temporizao da vlvula de escape  Corrente de distribuio;Turbocompressor substitudo/reparado  Clipe da alavanca de controle da vlvula de descarga substitudo/reparado/apertado;1170;Elétrico;Crítica;2 dias
BMW;Eclipse;2018;Ar condicionado não está gelando;Bomba da direo hidrulica com defeito;Vlvula de controle de tempo de vlvula de escape substituda  leo/filtro do motor substitudo;360;Sistema de Arrefecimento;Média;1 semana
Acura;Wrangler;2019;Sem aquecimento;Compressor de ar defeituoso;Limpeza do radiador;305;Direção;Média;1 dia
Dodge Ram;Infiniti FX35;2019;Sem energia, bateria descarregada;Solenide de purga do canister  Conectores de mangueira de borracha evaporativa  Conjunto do monitor de integridade do sistema evaporativo (ESIM)  Tampa do bocal de abastecimento de combustvel  Tanque de combustvel  Gargalo do bocal de abastecimento do tanque de combustvel;Conjunto do monitor de integridade do sistema evaporativo (ESIM) substitudo/reparado/conectado  Tampa do bocal de abastecimento de combustvel substituda/apertada/reparada;749;Transmissão;Média;1 semana
Subaru;RLX;2020;Falha no sistema de airbags;A velocidade do motor excedeu 200 RPM acima da velocidade de marcha lenta desejada;Troca dos amortecedores;463;Suspensão;Média;4 horas
Toyota;F-150;2015;Luz de advertncia de lembrete de manuteno/Procedimento de reinicializao.;Sensores de nvel de combustvel;Ncleo do aquecedor substitudo/limpo/consertado/sangrado  Procedimento de lavagem do sistema de arrefecimento;333;Sistema de Escape;Média;1 dia
Jaguar;Outback;2018;Cdigo de advertncia de falha de ignio do motor P0352;Roda dentada do eixo de comando de escape  Vlvula solenide de controle de temporizao da vlvula de escape  Corrente de distribuio;Turbocompressor substitudo/reparado  Clipe da alavanca de controle da vlvula de descarga substitudo/reparado/apertado;328;Sistema de Arrefecimento;Média;2 dias
Mercedes;A4;2019;Falha no sistema de airbags;Amortecedores desgastados;Ncleo do aquecedor substitudo/lavado/limpo ou motor do atuador da porta de mistura substitudo/conectado/reiniciado/reparado ou procedimento de lavagem do sistema de arrefecimento realizado;2222;Sistema de Arrefecimento;Média;1 semana
Mazda;Escalade;2020;O monitor Evap não funciona após o módulo de controle do motor (ECM) DTC P0442 O solenóide de ventilação é atualizado;Bobina de ignio com falha;Substituio do sensor de oxignio;787;Direção;Média;4 horas
Ford;Infiniti FX35;2012;Motor superaquecendo;Motor do atuador da porta de mistura  Eixo da porta de mistura  Fluxo do lquido de arrefecimento  Termostato do lquido de arrefecimento do motor  Ncleo do aquecedor  Cabea de controle do ar condicionado de ventilao do aquecedor (HVAC);Substituio do sensor de airbags;829;Sistema de Escape;Média;3 dias
Acura;Sierra;2010;Direo pesada;Radiador entupido;Conjunto de mdulo de controle do ventilador de resfriamento/ventilador substitudo  Conector do mdulo de controle do ventilador de resfriamento reparado/substitudo;1170;Sistema de Arrefecimento;Crítica;1 dia
Mazda;XC60;2021;O motor est funcionando com pouca potncia.;Mdulo de controle de transmisso (TCM) e/ou chicote eltrico;Procedimento de aprendizagem do volume de ar em marcha lenta realizado/substitudo  Corpo do acelerador substitudo/limpo  Procedimento de aprendizagem da posio de liberao do pedal do acelerador realizado e Procedimento de aprendizagem do volume de ar em marcha lenta realizado;1069;Direção;Média;4 horas
Audi;3;2010;Cdigo de advertncia de falha de ignio do motor P0352;O monitor Evap não funciona após o módulo de controle do motor (ECM) DTC P0442 O solenóide de ventilação é atualizado;Troca das pastilhas de freio;1880;Direção;Baixa;2 dias
Mazda;Jetta;2021;Marcha lenta irregular  falha de ignio do motor. Cdigo de advertncia P0014;Sistema de admisso de ar restrito  Sistema de exausto restrito  Turbocompressor com falha;Procedimento de aprendizagem do volume de ar em marcha lenta realizado/substitudo  Corpo do acelerador substitudo/limpo  Procedimento de aprendizagem da posio de liberao do pedal do acelerador realizado e Procedimento de aprendizagem do volume de ar em marcha lenta realizado;2464;Suspensão;Média;1 semana
Toyota;Outback;2018;Ar condicionado no est gelando;Motor do atuador da porta de mistura  Eixo da porta de mistura  Fluxo do lquido de arrefecimento  Termostato do lquido de arrefecimento do motor  Ncleo do aquecedor  Cabea de controle do ar condicionado de ventilao do aquecedor (HVAC);Conjunto do monitor de integridade do sistema evaporativo (ESIM) substitudo/reparado/conectado  Tampa do bocal de abastecimento de combustvel substituda/apertada/reparada;687;Suspensão;Crítica;4 horas
Toyota;Encore;2017;Sem manivela  No inicia;Bobina de ignição com falha;Bobina(s) de ignição substituída(s)/reparada(s)  Bobina(s) de ignição substituída(s) e vela(s) de ignição substituída(s)/reaprendida(s);1762;Elétrico;Alta;1 dia
Jeep;XJ 3.0;2010;Baixo consumo de energia;Mdulo de controle de transmisso (TCM) e/ou chicote eltrico;Substituiu o motor de arranque ou consertou a emenda J308;1086;Sistema de Arrefecimento;Média;1 dia
Volvo;XJ 3.0;2010;Ar condicionado no est gelando;Falha no conversor de torque;Limpeza do radiador;749;Transmissão;Média;1 dia
Mazda;XJ 3.0;2016;Código de advertência de falha de ignição do motor P0352;Roda dentada do eixo de comando de escape  Vlvula solenide de controle de temporizao da vlvula de escape  Corrente de distribuio;Ncleo do aquecedor substitudo/lavado/limpo ou motor do atuador da porta de mistura substitudo/conectado/reiniciado/reparado ou procedimento de lavagem do sistema de arrefecimento realizado;651;Elétrico;Média;3 dias
GMC;Infiniti FX35;2016;Sem energia, bateria descarregada;Tubo de escape com vazamento  sensor de oxignio com defeito.;Compressor de ar condicionado (A/C) substitudo ou sensor de fluxo do compressor de ar condicionado (A/C) substitudo;517;Sistema de Escape;Crítica;1 dia
Chevrolet;ES350;2021;Motor superaquecendo;Sensor de posio do eixo de comando  Sensor de posio do virabrequim;Procedimento de aprendizagem do volume de ar em marcha lenta realizado/substitudo  Corpo do acelerador substitudo/limpo  Procedimento de aprendizagem da posio de liberao do pedal do acelerador realizado e Procedimento de aprendizagem do volume de ar em marcha lenta realizado;651;Transmissão;Média;1 semana
Subaru;Wrangler;2012;O monitor Evap no funciona aps o mdulo de controle do motor (ECM) DTC P0442 O solenide de ventilao  atualizado;Radiador entupido;Limpeza do radiador;517;Sistema de Escape;Média;1 dia
Ford;Infiniti FX35;2010;Transmisso com falha;A velocidade do motor excedeu 200 RPM acima da velocidade de marcha lenta desejada;Troca dos amortecedores;1041;Sistema de Arrefecimento;Crítica;4 horas
Nissan;3;2010; necessrio redefinir o ciclo de conduo do monitor DTC;Solenide de purga do canister  Conectores de mangueira de borracha evaporativa  Conjunto do monitor de integridade do sistema evaporativo (ESIM)  Tampa do bocal de abastecimento de combustvel  Tanque de combustvel  Gargalo do bocal de abastecimento do tanque de combustvel;Conjunto de mdulo de controle do ventilador de resfriamento/ventilador substitudo  Conector do mdulo de controle do ventilador de resfriamento reparado/substitudo;1218;Sistema de Escape;Média;1 semana
Acura;ES350;2010;Motor superaquecendo;Falha na caixa de transmisso;Substituio do sensor de oxignio;2061;Direção;Crítica;4 horas
Mazda;A4;2012;Ar condicionado no resfria;Problema conhecido com o mdulo de controle do ventilador, que  incorporado no prprio ventilador auxiliar do radiador/condensador, causando um consumo de corrente. Alm disso, o controlador de velocidade do soprador para o aquecedor e o ventilador do A/C pode causar um consumo de corrente anormal.;Substituio do sensor de oxignio;1944;Elétrico;Média;2 dias
Hyundai;ES350;2012; necessrio redefinir o ciclo de conduo do monitor DTC;Procedimento de reinicializao do lembrete de manuteno somente para informaes;Substituiu o motor de arranque ou consertou a emenda J308;2400;Suspensão;Média;4 horas
Ford;Escalade;2018;Sem energia, bateria descarregada;Amortecedores desgastados;Troca da bomba da direo;651;Suspensão;Média;2 dias
Nissan;Santa Fe;2020;Freios falhando;Motor do atuador da porta de mistura  Eixo da porta de mistura  Fluxo do lquido de arrefecimento  Termostato do lquido de arrefecimento do motor  Ncleo do aquecedor  Cabea de controle do ar condicionado de ventilao do aquecedor (HVAC);Reparo na transmisso;2338;Elétrico;Crítica;4 horas
Honda;Santa Fe;2021;Luz de verificao do motor em marcha lenta alta;Falha no sensor de airbags;Compressor de ar condicionado (A/C) substituído ou sensor de fluxo do compressor de ar condicionado (A/C) substituído;1316;Suspensão;Média;1 dia
Hyundai;Accord;2012;Superaquecimento do motor;A velocidade do motor excedeu 200 RPM acima da velocidade de marcha lenta desejada;Mdulo de controle de transmisso (TCM) substitudo/reparado/apertado/ajustado;1784;Elétrico;Crítica;4 horas
Subaru;Encore;2017;Motor superaquecendo;A velocidade do motor excedeu 200 RPM acima da velocidade de marcha lenta desejada;Substituiu o motor de arranque ou consertou a emenda J308;1086;Motor;Média;4 horas
Kia;C-Class;2020;Cdigo de advertncia P2096.;Solenide de purga do canister  Conectores de mangueira de borracha evaporativa  Conjunto do monitor de integridade do sistema evaporativo (ESIM)  Tampa do bocal de abastecimento de combustvel  Tanque de combustvel  Gargalo do bocal de abastecimento do tanque de combustvel;Compressor de ar condicionado (A/C) substituído ou sensor de fluxo do compressor de ar condicionado (A/C) substituído;1149;Elétrico;Média;1 semana
Chevrolet;ES350;2016;Falha no sistema de airbags;O monitor Evap não funciona após o módulo de controle do motor (ECM) DTC P0442 O solenóide de ventilação é atualizado;Sensor de relao ar/combustvel (A/F) substitudo/apertado  Sensor de oxignio aquecido (HO2S) substitudo Banco 1 Sensor 1 (B1S1)  Sensor de oxignio aquecido (HO2S) substitudo Banco 1 Sensor 2 (B1S2);703;Sistema de Escape;Média;4 horas
Volkswagen;Outback;2015; necessrio redefinir o ciclo de conduo do monitor DTC;Tubo de escape com vazamento  sensor de oxignio com defeito.;Fluido de transmisso automtica substitudo/lavado;1069;Transmissão;Média;1 dia
Kia;Santa Fe;2017; necessrio redefinir o ciclo de conduo do monitor DTC;Bobina de ignição com falha;Turbocompressor substitudo/reparado  Clipe da alavanca de controle da vlvula de descarga substitudo/reparado/apertado;1516;Transmissão;Média;2 dias
Chevrolet;F-150;2017;O motor est funcionando com pouca potncia.;Mdulo de controle de transmisso (TCM) e/ou chicote eltrico;Reparo no conversor de torque;1784;Freios;Crítica;4 horas
Infiniti;ES350;2020;Transmisso com falha;Falha na caixa de transmisso;Mdulo de controle de transmisso (TCM) substitudo/reparado/apertado/ajustado;1856;Suspensão;Média;4 horas
Audi;Camry;2016;Sem manivela  No inicia;Roda dentada do eixo de comando de escape  Vlvula solenide de controle de temporizao da vlvula de escape  Corrente de distribuio;Procedimento de aprendizagem do volume de ar em marcha lenta realizado/substitudo  Corpo do acelerador substitudo/limpo  Procedimento de aprendizagem da posio de liberao do pedal do acelerador realizado e Procedimento de aprendizagem do volume de ar em marcha lenta realizado;1103;Sistema de Escape;Média;4 horas
Toyota;Wrangler;2015;Sem partida  sem fasca;Solenide de purga do canister  Conectores de mangueira de borracha evaporativa  Conjunto do monitor de integridade do sistema evaporativo (ESIM)  Tampa do bocal de abastecimento de combustvel  Tanque de combustvel  Gargalo do bocal de abastecimento do tanque de combustvel;Alternador substitudo/reparado  Fiao do alternador reparada/substituda/trocada  Caixa de fusveis auxiliar da bateria substituda/reparada/apertada;1741;Sistema de Arrefecimento;Média;2 dias
Subaru;Camry;2019;Cdigo de advertncia de falha de ignio do motor P0352;Mdulo de controle de transmisso (TCM) e/ou chicote eltrico;Troca dos amortecedores;1512;Elétrico;Crítica;4 horas
Hyundai;XJ 3.0;2019;Falha no sistema de airbags;Compressor de ar condicionado (A/C);Substituio do solenide/vlvula de ventilao do canister de emisses evaporativas (EVAP)  Substituio da vlvula de controle de purga do canister  Substituio da bomba de combustvel;517;Transmissão;Média;4 horas
Chrysler;Silverado;2019;Luz de verificao do motor em marcha lenta alta;Compressor de ar condicionado (A/C);Substituio do sensor de oxignio;1512;Motor;Média;1 dia
BMW;XJ 3.0;2021;Suspenso com rudos;Bobina de ignio com falha;Procedimento de reinicializao do lembrete de manuteno realizada/redefinida;2084;Sistema de Escape;Crítica;4 horas
Dodge Ram;ES350;2012;Luz de advertncia de lembrete de manuteno/Procedimento de reinicializao.;Falha no sensor de airbags;Unidade de estgio final de controle do soprador substituda/reparada  bateria substituda/recarregada/programada;1069;Suspensão;Média;1 dia
Toyota;Accord;2012;O monitor Evap no funciona aps o mdulo de controle do motor (ECM) DTC P0442 O solenide de ventilao  atualizado;Bomba da direo hidrulica com defeito;Substituio do sensor de oxignio;470;Motor;Média;4 horas
Ford;Eclipse;2017;Luz de advertncia de lembrete de manuteno/Procedimento de reinicializao.;Amortecedores desgastados;Mdulo de controle de transmisso (TCM) substitudo/reparado/apertado/ajustado;1911;Freios;Alta;2 dias
Buick;Elantra;2016;O motor est funcionando com pouca potncia.;Problema conhecido com o mdulo de controle do ventilador, que  incorporado no prprio ventilador auxiliar do radiador/condensador, causando um consumo de corrente. Alm disso, o controlador de velocidade do soprador para o aquecedor e o ventilador do A/C pode causar um consumo de corrente anormal.;Troca da bomba da direo;2400;Motor;Média;1 dia
Chrysler;A3 Quattro;2012;Tremores do motor;Bomba da direo hidrulica com defeito;Troca dos amortecedores;1944;Motor;Média;1 semana
Jaguar;Santa Fe;2016;Sem partida  sem fasca;Falha na caixa de transmisso;Ncleo do aquecedor substitudo/lavado/limpo ou motor do atuador da porta de mistura substitudo/conectado/reiniciado/reparado ou procedimento de lavagem do sistema de arrefecimento realizado;1843;Direção;Crítica;1 dia
Acura;X3;2020;Sem manivela  No inicia;O monitor Evap não funciona após o módulo de controle do motor (ECM) DTC P0442 O solenóide de ventilação é atualizado;Procedimento de aprendizagem do volume de ar em marcha lenta realizado/substitudo  Corpo do acelerador substitudo/limpo  Procedimento de aprendizagem da posio de liberao do pedal do acelerador realizado e Procedimento de aprendizagem do volume de ar em marcha lenta realizado;1103;Sistema de Escape;Média;4 horas
Jeep;F-150;2019;Ar condicionado no resfria;O monitor Evap no funciona aps o mdulo de controle do motor (ECM) DTC P0442 O solenide de ventilao  atualizado;Limpeza do radiador;2084;Freios;Média;3 dias
Honda;Wrangler;2021;Cdigo de advertncia de falha de ignio do motor P0352;Sistema de admisso de ar restrito  Sistema de exausto restrito  Turbocompressor com falha;Procedimento de aprendizagem do volume de ar em marcha lenta realizado/substitudo  Corpo do acelerador substitudo/limpo  Procedimento de aprendizagem da posio de liberao do pedal do acelerador realizado e Procedimento de aprendizagem do volume de ar em marcha lenta realizado;303;Sistema de Escape;Média;1 semana
Buick;Sedona;2012;Sem aquecimento;Falha no sensor de airbags;Troca da bateria;787;Direção;Média;2 dias
Jeep;XC60;2018;Luz de advertncia de lembrete de manuteno/Procedimento de reinicializao.;Radiador entupido;Conjunto do monitor de integridade do sistema evaporativo (ESIM) substitudo/reparado/conectado  Tampa do bocal de abastecimento de combustvel substituda/apertada/reparada;787;Elétrico;Média;4 horas
Acura;F-150;2018;Indicador de nvel de combustvel irregular, medidor de combustvel no funciona;Bomba da direo hidrulica com defeito;Vlvula de controle de tempo de vlvula de escape substituda  leo/filtro do motor substitudo;703;Suspensão;Crítica;1 dia
Mazda;A4;2017;Ar condicionado não está gelando;Falha na caixa de transmisso;Substituir sensor de posio do virabrequim (CKP)  Substituir/programar chave imobilizadora  Substituir correia dentada;377;Suspensão;Média;1 dia
Subaru;Elantra;2019;Ar condicionado no est gelando;Falha na caixa de transmisso;Reparo no conversor de torque;1749;Direção;Média;1 dia
Audi;Sedona;2016;Falha no sistema de airbags;Bobina de ignição com falha;Mdulo de controle de transmisso (TCM) substitudo/reparado/apertado/ajustado;903;Suspensão;Crítica;4 horas
Cadillac;RLX;2016;Ar condicionado no resfria;A velocidade do motor excedeu 200 RPM acima da velocidade de marcha lenta desejada;Ncleo do aquecedor substitudo/limpo/consertado/sangrado  Procedimento de lavagem do sistema de arrefecimento;1421;Freios;Média;4 horas
Volvo;XC60;2016;Bateria no est sendo carregada pelo alternador.;Circuito do ventilador com defeito impedindo que o ventilador esfrie o motor;Turbocompressor substitudo/reparado  Clipe da alavanca de controle da vlvula de descarga substitudo/reparado/apertado;1764;Suspensão;Média;4 horas
Volvo;Cruze;2019;Superaquecimento do motor;Mdulo de controle de transmisso (TCM) e/ou chicote eltrico;Sensor de relao ar/combustvel (A/F) substitudo/apertado  Sensor de oxignio aquecido (HO2S) substitudo Banco 1 Sensor 1 (B1S1)  Sensor de oxignio aquecido (HO2S) substitudo Banco 1 Sensor 2 (B1S2);1218;Motor;Média;2 dias
GMC;Wrangler;2017;Baixo consumo de energia;Tubo de escape com vazamento  sensor de oxignio com defeito.;Procedimento de reinicializao do lembrete de manuteno realizada/redefinida;950;Sistema de Escape;Média;1 dia
Jeep;Jetta;2017;O motor est funcionando com pouca potncia.;Radiador entupido;Bobina(s) de ignio substituda(s)/reparada(s)  Bobina(s) de ignio substituda(s) e vela(s) de ignio substituda(s)/reaprendida(s);863;Elétrico;Média;4 horas
Nissan;Altima;2021;Falha no sistema de airbags;Sensor de oxignio com defeito;Ncleo do aquecedor substitudo/limpo/consertado/sangrado  Procedimento de lavagem do sistema de arrefecimento;2109;Freios;Média;2 dias
Subaru;Escalade;2010;Sem partida  sem fasca;Mdulo de controle de transmisso (TCM) e/ou chicote eltrico;Bobina(s) de ignição substituída(s)/reparada(s)  Bobina(s) de ignição substituída(s) e vela(s) de ignição substituída(s)/reaprendida(s);787;Sistema de Arrefecimento;Baixa;1 dia
Dodge Ram;RLX;2021;Luz do motor acesa;A velocidade do motor excedeu 200 RPM acima da velocidade de marcha lenta desejada;Substituio do sensor de oxignio;1170;Suspensão;Crítica;2 dias
Kia;Camry;2021;Cdigo de advertncia de falha de ignio do motor P0352;Problema conhecido com o mdulo de controle do ventilador, que  incorporado no prprio ventilador auxiliar do radiador/condensador, causando um consumo de corrente. Alm disso, o controlador de velocidade do soprador para o aquecedor e o ventilador do A/C pode causar um consumo de corrente anormal.;Procedimento de reinicializao do lembrete de manuteno realizada/redefinida;1086;Direção;Média;4 horas
BMW;Sierra;2017;Ar condicionado no resfria;Sistema de admisso de ar restrito  Sistema de exausto restrito  Turbocompressor com falha;Unidade de estgio final de controle do soprador substituda/reparada  bateria substituda/recarregada/programada;2187;Transmissão;Média;4 horas
Cadillac;Camry;2019;Ar condicionado no est gelando;Bobina de ignição com falha;Substituio do solenide/vlvula de ventilao do canister de emisses evaporativas (EVAP)  Substituio da vlvula de controle de purga do canister  Substituio da bomba de combustvel;1316;Motor;Crítica;4 horas
BMW;Altima;2019;Ar condicionado no est gelando;Sensor de posio do eixo de comando  Sensor de posio do virabrequim;Turbocompressor substitudo/reparado  Clipe da alavanca de controle da vlvula de descarga substitudo/reparado/apertado;360;Sistema de Arrefecimento;Média;2 dias
Audi;Jetta;2019;Freios falhando;Sensor de oxignio com defeito;Ncleo do aquecedor substitudo/limpo/consertado/sangrado  Procedimento de lavagem do sistema de arrefecimento;1218;Suspensão;Alta;1 semana
Kia;X3;2012;Marcha lenta irregular  falha de ignio do motor. Cdigo de advertncia P0014;Solenide de purga do canister  Conectores de mangueira de borracha evaporativa  Conjunto do monitor de integridade do sistema evaporativo (ESIM)  Tampa do bocal de abastecimento de combustvel  Tanque de combustvel  Gargalo do bocal de abastecimento do tanque de combustvel;Conjunto de mdulo de controle do ventilador de resfriamento/ventilador substitudo  Conector do mdulo de controle do ventilador de resfriamento reparado/substitudo;1149;Motor;Crítica;1 dia
Jaguar;Elantra;2020;Falha no sistema de airbags;Falha no sensor de airbags;Turbocompressor substitudo/reparado  Clipe da alavanca de controle da vlvula de descarga substitudo/reparado/apertado;1856;Sistema de Escape;Média;4 horas
Lexus;Encore;2018;O motor est funcionando com pouca potncia.;Falha no sensor de airbags;Ncleo do aquecedor substitudo/limpo/consertado/sangrado  Procedimento de lavagem do sistema de arrefecimento;1843;Transmissão;Média;2 dias
Volkswagen;Accord;2015;Direo pesada;Compressor de ar defeituoso;Ncleo do aquecedor substitudo/lavado/limpo ou motor do atuador da porta de mistura substitudo/conectado/reiniciado/reparado ou procedimento de lavagem do sistema de arrefecimento realizado;1652;Freios;Crítica;4 horas
Jaguar;Silverado;2017;Falha no sistema de airbags;Falha no sensor de airbags;Alternador substitudo/reparado  Fiao do alternador reparada/substituda/trocada  Caixa de fusveis auxiliar da bateria substituda/reparada/apertada;2497;Direção;Crítica;2 dias
GMC;XJ 3.0;2017;Ar condicionado não está gelando;Amortecedores desgastados;Mdulo de controle de transmisso (TCM) substitudo/reparado/apertado/ajustado;1025;Transmissão;Média;1 dia
Mitsubishi;Jetta;2016;Falha no sistema de airbags;Procedimento de reinicializao do lembrete de manuteno somente para informaes;Conjunto do monitor de integridade do sistema evaporativo (ESIM) substitudo/reparado/conectado  Tampa do bocal de abastecimento de combustvel substituda/apertada/reparada;1762;Sistema de Arrefecimento;Média;4 horas
